C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,kontrolka,,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,
3.56,2.54,0.05,1.89,0,0,0,0,12,0,62,38,0,0,0,0,FP,0.01826,61.20869,39.13875,0.00177,0.00011,0.027673,0.001397,100.39666,0,61,39,0,0,0,0,100,,0.01826,61.20869,39.13875,0.00177,0.00011,0.027673,0.001397,100.39666
3.56,2.54,0.05,1.89,0,0,0,0,24,0,66,34,0,0,0,0,FP,0.06369,83.47753,38.13126,0.00332,0.00130,0.006479,0.000803,121.68437,0,69,31,0,0,0,0,100,,0.06369,83.47753,38.13126,0.00332,0.00130,0.006479,0.000803,121.68437
3.63,2.41,0.04,2.81,0,0,0,0,3,0,40,60,0,0,0,0,FP,0.00164,51.30624,57.12141,0.00048,0.00003,0.056746,0.004584,108.49113,0,47,53,0,0,0,0,100,,0.00164,51.30624,57.12141,0.00048,0.00003,0.056746,0.004584,108.49113
3.63,2.41,0.04,2.81,0,0,0,0,6,0,51,49,0,0,0,0,FP,0.00252,51.69062,49.65307,0.00044,0.00002,0.071317,0.003590,101.42159,0,51,49,0,0,0,0,100,,0.00252,51.69062,49.65307,0.00044,0.00002,0.071317,0.003590,101.42159
3.63,2.41,0.04,2.81,0,0,0,0,12,0,54,46,0,0,0,0,FP,0.00316,50.70498,43.03311,0.00044,0.00002,0.069517,0.002599,93.81382,0,54,46,0,0,0,0,100,,0.00316,50.70498,43.03311,0.00044,0.00002,0.069517,0.002599,93.81382
3.63,2.41,0.04,2.81,0,0,0,0,24,0,60,40,0,0,0,0,FP,0.00579,59.75123,40.44472,0.00059,0.00004,0.036617,0.001490,100.24046,0,60,40,0,0,0,0,100,,0.00579,59.75123,40.44472,0.00059,0.00004,0.036617,0.001490,100.24046
3.41,2.58,0.3,0,0,0,1.47,0,3,25,75,0,0,0,0,0,FP,25.00975,72.85372,1.24460,0.19720,0.00148,0.002807,0.000013,99.30957,25,73,1,0,0,0,0,100,,25.00975,72.85372,1.24460,0.19720,0.00148,0.002807,0.000013,99.30957
3.41,2.58,0.3,0,0,0,1.47,0,6,34,66,0,0,0,0,0,FP,33.48411,70.73355,0.52148,0.21189,0.00040,0.002834,0.000008,104.95427,32,67,0,0,0,0,0,100,,33.48411,70.73355,0.52148,0.21189,0.00040,0.002834,0.000008,104.95427
3.41,2.58,0.3,0,0,0,1.47,0,12,46,54,0,0,0,0,0,FP,44.14117,64.20046,0.16722,0.22299,0.00003,0.002904,0.000004,108.73479,41,59,0,0,0,0,0,100,,44.14117,64.20046,0.16722,0.22299,0.00003,0.002904,0.000004,108.73479
3.41,2.58,0.3,0,0,0,1.47,0,24,54,46,0,0,0,0,0,FP,51.25999,52.01256,0.04513,0.18676,0.00000,0.003229,0.000002,103.50768,50,50,0,0,0,0,0,100,,51.25999,52.01256,0.04513,0.18676,0.00000,0.003229,0.000002,103.50768
